title,artist,album,duration
Thriller,Michael Jackson,Thriller,05:57
Billie Jean,Michael Jackson,Thriller,04:54
Beat It,Michael Jackson,Thriller,04:18
Smooth Criminal,Michael Jackson,Bad,04:17
Black or White,Michael Jackson,Dangerous,04:16
Man in the Mirror,Michael Jackson,Bad,05:19
