title,artist,album,duration
Stairway to Heaven,Led Zeppelin,Led Zeppelin IV,08:02
Whole Lotta Love,Led Zeppelin,Led Zeppelin II,05:34
Kashmir,Led Zeppelin,Physical Graffiti,08:37
Immigrant Song,Led Zeppelin,Led Zeppelin III,02:26
Black Dog,Led Zeppelin,Led Zeppelin IV,04:54
