title,artist,album,duration
Lose Yourself,Eminem,8 Mile Soundtrack,05:26
Not Afraid,Eminem,Recovery,04:08
Love The Way You Lie,"Eminem, Rihanna",Recovery,04:23
Stan,"Eminem, Dido",The Marshall Mathers LP,06:44
The Real Slim Shady,Eminem,The Marshall Mathers LP,04:44
