title,artist,album,duration
Sweet Child O' Mine,Guns N' Roses,Appetite for Destruction,05:56
Welcome to the Jungle,Guns N' Roses,Appetite for Destruction,04:34
Paradise City,Guns N' Roses,Appetite for Destruction,06:46
November Rain,Guns N' Roses,Use Your Illusion I,08:57
Don't Cry,Guns N' Roses,Use Your Illusion I,04:45
