title,artist,album,duration
Smells Like Teen Spirit,Nirvana,Nevermind,05:01
Come As You Are,Nirvana,Nevermind,03:39
Lithium,Nirvana,Nevermind,04:17
In Bloom,Nirvana,Nevermind,04:14
Heart-Shaped Box,Nirvana,In Utero,04:41
